ID,Jenis Sayuran,Tanggal Harga,Season,Harga Beli Pengepul per Kilogram,Harga Beli Pasar per Kilogram
1,Sawi Putih,1/1/2021,Hujan,3452.271603,3752.737482
2,Cabe Chilli,1/1/2021,Hujan,20762.94361,24271.62695
3,Cabe Kriting,1/1/2021,Hujan,34203.87889,38963.48198
4,Cabe Rawit,1/1/2021,Hujan,52807.0098,56674.71788
5,Kol,1/1/2021,Hujan,1769.608362,2044.366134
6,Buncis,1/1/2021,Hujan,1936.533521,2200.746455
7,Sawi Putih,1/2/2021,Hujan,1502.681158,1724.475361
8,Cabe Chilli,1/2/2021,Hujan,24091.07917,26409.39628
9,Cabe Kriting,1/2/2021,Hujan,37616.00758,39695.67497
10,Cabe Rawit,1/2/2021,Hujan,56010.76264,65573.32391
11,Kol,1/2/2021,Hujan,5165.455256,5621.398912
12,Buncis,1/2/2021,Hujan,5999.359576,6820.270238
13,Sawi Putih,1/3/2021,Hujan,3104.26257,3498.551458
14,Cabe Chilli,1/3/2021,Hujan,22019.40892,24616.00898
15,Cabe Kriting,1/3/2021,Hujan,29355.25769,34326.12085
16,Cabe Rawit,1/3/2021,Hujan,55720.27907,64928.6702
17,Kol,1/3/2021,Hujan,2904.135472,3382.484508
18,Buncis,1/3/2021,Hujan,3925.43286,4350.808231
19,Sawi Putih,1/4/2021,Hujan,1478.50117,1686.260708
20,Cabe Chilli,1/4/2021,Hujan,28982.17406,32245.25388
21,Cabe Kriting,1/4/2021,Hujan,35983.4569,41126.6861
22,Cabe Rawit,1/4/2021,Hujan,46144.48693,53564.19044
23,Kol,1/4/2021,Hujan,5433.109037,5870.387741
24,Buncis,1/4/2021,Hujan,2992.662137,3247.898209
25,Sawi Putih,1/5/2021,Hujan,2050.945066,2158.919055
26,Cabe Chilli,1/5/2021,Hujan,21013.78951,22566.7649
27,Cabe Kriting,1/5/2021,Hujan,26350.78012,28408.32603
28,Cabe Rawit,1/5/2021,Hujan,46997.57619,55010.73905
29,Kol,1/5/2021,Hujan,6514.780211,6984.256168
30,Buncis,1/5/2021,Hujan,5585.803904,6483.891349
31,Sawi Putih,1/6/2021,Hujan,821.7698345,961.851593
32,Cabe Chilli,1/6/2021,Hujan,22974.20872,25495.93948
33,Cabe Kriting,1/6/2021,Hujan,33262.07728,35787.62181
34,Cabe Rawit,1/6/2021,Hujan,37782.03502,40084.44246
35,Kol,1/6/2021,Hujan,3977.189678,4347.468924
36,Buncis,1/6/2021,Hujan,3931.686213,4600.952052
37,Sawi Putih,1/7/2021,Hujan,1880.548289,2003.633758
38,Cabe Chilli,1/7/2021,Hujan,23450.62021,24949.0848
39,Cabe Kriting,1/7/2021,Hujan,32256.68803,35190.79953
40,Cabe Rawit,1/7/2021,Hujan,53769.09257,58891.1435
41,Kol,1/7/2021,Hujan,1523.334956,1737.570828
42,Buncis,1/7/2021,Hujan,5817.288305,6576.84339
43,Sawi Putih,1/8/2021,Hujan,2831.439731,3028.988746
44,Cabe Chilli,1/8/2021,Hujan,25937.52392,28540.92204
45,Cabe Kriting,1/8/2021,Hujan,36023.8572,40969.56777
46,Cabe Rawit,1/8/2021,Hujan,48128.98133,56074.22769
47,Kol,1/8/2021,Hujan,4064.962411,4577.438196
48,Buncis,1/8/2021,Hujan,6297.237569,6797.06389
49,Sawi Putih,1/9/2021,Hujan,2794.248731,3020.851875
50,Cabe Chilli,1/9/2021,Hujan,22858.48411,24842.80766
51,Cabe Kriting,1/9/2021,Hujan,31525.97364,33485.22699
52,Cabe Rawit,1/9/2021,Hujan,41866.33897,48529.82352
53,Kol,1/9/2021,Hujan,2959.457582,3145.239791
54,Buncis,1/9/2021,Hujan,4898.176103,5276.558678
55,Sawi Putih,1/10/2021,Hujan,4025.276669,4397.857234
56,Cabe Chilli,1/10/2021,Hujan,26337.35638,28934.51322
57,Cabe Kriting,1/10/2021,Hujan,33479.788,35437.02458
58,Cabe Rawit,1/10/2021,Hujan,56223.35286,63719.82514
59,Kol,1/10/2021,Hujan,2986.959328,3199.995015
60,Buncis,1/10/2021,Hujan,3920.672041,4410.666344
61,Sawi Putih,1/11/2021,Hujan,2942.263158,3310.164376
62,Cabe Chilli,1/11/2021,Hujan,21517.23115,24620.2625
63,Cabe Kriting,1/11/2021,Hujan,30447.8164,32701.17553
64,Cabe Rawit,1/11/2021,Hujan,45615.43028,51710.52403
65,Kol,1/11/2021,Hujan,2996.277857,3254.913791
66,Buncis,1/11/2021,Hujan,5328.901494,5923.707975
67,Sawi Putih,1/12/2021,Hujan,754.8321438,852.994939
68,Cabe Chilli,1/12/2021,Hujan,22076.31299,25037.88974
69,Cabe Kriting,1/12/2021,Hujan,24815.83172,28712.67951
70,Cabe Rawit,1/12/2021,Hujan,51599.03838,60082.70453
71,Kol,1/12/2021,Hujan,6380.419145,7032.284164
72,Buncis,1/12/2021,Hujan,5597.434272,5956.56509
73,Sawi Putih,1/13/2021,Hujan,2653.947616,2971.743857
74,Cabe Chilli,1/13/2021,Hujan,24265.77737,26161.36333
75,Cabe Kriting,1/13/2021,Hujan,33056.78924,36387.77101
76,Cabe Rawit,1/13/2021,Hujan,46870.75964,54310.50073
77,Kol,1/13/2021,Hujan,2122.841107,2286.848301
78,Buncis,1/13/2021,Hujan,1910.914403,2240.098842
79,Sawi Putih,1/14/2021,Hujan,574.0593459,605.7915303
80,Cabe Chilli,1/14/2021,Hujan,26112.62878,29244.66722
81,Cabe Kriting,1/14/2021,Hujan,38719.94871,41063.66272
82,Cabe Rawit,1/14/2021,Hujan,45459.64176,52915.29614
