ID,Sawi Putih,Cabe Chilli,Cabe Kriting,Cabe Rawit,Kol,Buncis,Tanggal Penjualan,Penjualan total per hari,Ongkos Kirim,Lokasi Pengiriman
1,346.4198939,0,336.0176138,1226.64842,257.8660325,0,1/1/2021,2166.95196,1083475.98,Pasar Induk
2,0,242.5262199,0,2674.727719,0,0,1/2/2021,2917.253939,1458626.97,Pasar Bogor
3,401.7802807,0,253.070396,0,281.8415042,2870.388258,1/3/2021,3807.080439,1903540.219,Pasar Bogor
4,325.2092529,0,883.8420792,240.4699952,1891.86927,0,1/4/2021,3341.390597,1670695.299,Pasar Gudang
5,0,1261.153825,0,275.2290925,835.0463277,253.027249,1/5/2021,2624.456494,1312228.247,Pasar Induk
6,0,250.216618,248.1816332,1349.243466,2315.457466,0,1/6/2021,4163.099183,2081549.592,Pasar Pasundan
7,0,3574.082349,260.5728732,441.3276565,0,0,1/7/2021,4275.982879,2137991.44,Pasar Gudang
8,0,0,2796.502992,0,244.7584217,0,1/8/2021,3041.261414,1520630.707,Pasar Gudang
9,0,748.8357155,238.7607555,0,0,1003.489496,1/9/2021,1991.085967,995542.9836,Pasar Induk
10,0,0,597.4474039,1282.575634,634.160685,1225.447316,1/10/2021,3739.631038,1869815.519,Pasar Bogor
11,0,0,238.4778682,2942.292506,512.2245695,625.9244374,1/11/2021,4318.919381,2159459.69,Pasar Pasundan
12,261.3034809,883.8389861,1841.541935,0,0,753.3512145,1/12/2021,3740.035616,1870017.808,Pasar Gudang
13,242.885323,1061.361961,0,1523.936729,0,0,1/13/2021,2828.184013,1414092.007,Pasar Bogor
14,242.0948456,0,0,0,2013.064469,759.7377543,1/14/2021,3014.897069,1507448.534,Pasar Pasundan
15,257.0390068,0,246.7204461,0,3549.58592,0,1/15/2021,4053.345373,2026672.687,Pasar Induk
16,247.7491691,305.519543,0,2387.171932,393.1673659,0,1/16/2021,3333.60801,1666804.005,Pasar Gudang
17,261.5766943,1315.994145,282.3608319,0,0,267.8114074,1/17/2021,2127.743079,1063871.54,Pasar Bogor
18,0,0,247.2658034,0,2366.492638,753.2198964,1/18/2021,3366.978338,1683489.169,Pasar Bogor
19,0,0,1044.766626,402.3660851,0,568.1563182,1/19/2021,2015.28903,1007644.515,Pasar Pasundan
20,1982.177103,785.4154678,786.9241576,0,0,693.6734313,1/20/2021,4248.19016,2124095.08,Pasar Induk
21,588.1098771,310.8794401,0,1672.774139,0,0,1/21/2021,2571.763456,1285881.728,Pasar Pasundan
22,0,3132.424513,259.3823029,258.2425269,0,0,1/22/2021,3650.049343,1825024.672,Pasar Gudang
23,252.1986611,0,1235.601935,239.6421827,0,1211.515581,1/23/2021,2938.95836,1469479.18,Pasar Pasundan
24,0,0,2209.149771,986.9028044,691.049065,0,1/24/2021,3887.10164,1943550.82,Pasar Induk
25,254.9991044,0,3410.582322,0,0,0,1/25/2021,3665.581426,1832790.713,Pasar Bogor
26,815.3539289,238.6659842,0,0,0,1838.325013,1/26/2021,2892.344926,1446172.463,Pasar Pasundan
27,0,1383.551152,1824.150655,261.1275279,0,0,1/27/2021,3468.829335,1734414.667,Pasar Gudang
28,2301.415575,254.9083791,0,1229.121684,0,256.2590799,1/28/2021,4041.704718,2020852.359,Pasar Gudang
29,2562.999555,0,275.6090476,262.293204,1378.050154,0,1/29/2021,4478.951961,2239475.981,Pasar Pasundan
30,0,0,253.540714,281.6752095,0,3793.340583,1/30/2021,4328.556506,2164278.253,Pasar Pasundan
31,429.7625929,1227.77049,0,0,352.0316027,321.0404291,1/31/2021,2330.605115,1165302.558,Pasar Induk
32,0,0,0,970.2091055,256.3554606,1679.06159,2/1/2021,2905.626156,1452813.078,Pasar Bogor
33,0,0,0,250.7822283,260.2047447,3600.475601,2/2/2021,4111.462574,2055731.287,Pasar Induk
