ID,Jenis Sayuran,Tanggal Harga,Musim,Harga Beli Pengepul per Kilogram
1,Sawi Putih,1/1/2021,Hujan,3500
2,Cabe Chilli,1/1/2021,Hujan,20800
3,Cabe Kriting,1/1/2021,Hujan,34200
4,Cabe Rawit,1/1/2021,Hujan,52800
5,Kol,1/1/2021,Hujan,1800
6,Buncis,1/1/2021,Hujan,1900
7,Sawi Putih,1/2/2021,Hujan,1500
8,Cabe Chilli,1/2/2021,Hujan,24100
9,Cabe Kriting,1/2/2021,Hujan,37600
10,Cabe Rawit,1/2/2021,Hujan,56000
11,Kol,1/2/2021,Hujan,5200
12,Buncis,1/2/2021,Hujan,6000
13,Sawi Putih,1/3/2021,Hujan,3100
14,Cabe Chilli,1/3/2021,Hujan,22000
15,Cabe Kriting,1/3/2021,Hujan,29400
16,Cabe Rawit,1/3/2021,Hujan,55700
17,Kol,1/3/2021,Hujan,2900
18,Buncis,1/3/2021,Hujan,3900
19,Sawi Putih,1/4/2021,Hujan,1500
20,Cabe Chilli,1/4/2021,Hujan,29000
21,Cabe Kriting,1/4/2021,Hujan,36000
22,Cabe Rawit,1/4/2021,Hujan,46100
23,Kol,1/4/2021,Hujan,5400
24,Buncis,1/4/2021,Hujan,3000
25,Sawi Putih,1/5/2021,Hujan,2100
26,Cabe Chilli,1/5/2021,Hujan,21000
27,Cabe Kriting,1/5/2021,Hujan,26400
28,Cabe Rawit,1/5/2021,Hujan,47000
29,Kol,1/5/2021,Hujan,6500
30,Buncis,1/5/2021,Hujan,5600
31,Sawi Putih,1/6/2021,Hujan,800
32,Cabe Chilli,1/6/2021,Hujan,23000
33,Cabe Kriting,1/6/2021,Hujan,33300
34,Cabe Rawit,1/6/2021,Hujan,37800
35,Kol,1/6/2021,Hujan,4000
36,Buncis,1/6/2021,Hujan,3900
37,Sawi Putih,1/7/2021,Hujan,1900
38,Cabe Chilli,1/7/2021,Hujan,23500
39,Cabe Kriting,1/7/2021,Hujan,32300
40,Cabe Rawit,1/7/2021,Hujan,53800
41,Kol,1/7/2021,Hujan,1500
42,Buncis,1/7/2021,Hujan,5800
43,Sawi Putih,1/8/2021,Hujan,2800
44,Cabe Chilli,1/8/2021,Hujan,25900
45,Cabe Kriting,1/8/2021,Hujan,36000
46,Cabe Rawit,1/8/2021,Hujan,48100
47,Kol,1/8/2021,Hujan,4100
48,Buncis,1/8/2021,Hujan,6300
49,Sawi Putih,1/9/2021,Hujan,2800
50,Cabe Chilli,1/9/2021,Hujan,22900
51,Cabe Kriting,1/9/2021,Hujan,31500
52,Cabe Rawit,1/9/2021,Hujan,41900
53,Kol,1/9/2021,Hujan,3000
54,Buncis,1/9/2021,Hujan,4900
55,Sawi Putih,1/10/2021,Hujan,4000
56,Cabe Chilli,1/10/2021,Hujan,26300
57,Cabe Kriting,1/10/2021,Hujan,33500
58,Cabe Rawit,1/10/2021,Hujan,56200
59,Kol,1/10/2021,Hujan,3000
60,Buncis,1/10/2021,Hujan,3900
61,Sawi Putih,1/11/2021,Hujan,2900
62,Cabe Chilli,1/11/2021,Hujan,21500
63,Cabe Kriting,1/11/2021,Hujan,30400
64,Cabe Rawit,1/11/2021,Hujan,45600
65,Kol,1/11/2021,Hujan,3000
66,Buncis,1/11/2021,Hujan,5300
67,Sawi Putih,1/12/2021,Hujan,800
68,Cabe Chilli,1/12/2021,Hujan,22100
69,Cabe Kriting,1/12/2021,Hujan,24800
70,Cabe Rawit,1/12/2021,Hujan,51600
71,Kol,1/12/2021,Hujan,6400
72,Buncis,1/12/2021,Hujan,5600
73,Sawi Putih,1/13/2021,Hujan,2700
74,Cabe Chilli,1/13/2021,Hujan,24300
75,Cabe Kriting,1/13/2021,Hujan,33100
76,Cabe Rawit,1/13/2021,Hujan,46900
77,Kol,1/13/2021,Hujan,2100
78,Buncis,1/13/2021,Hujan,1900
79,Sawi Putih,1/14/2021,Hujan,600
80,Cabe Chilli,1/14/2021,Hujan,26100
81,Cabe Kriting,1/14/2021,Hujan,38700
82,Cabe Rawit,1/14/2021,Hujan,45500
83,Kol,1/14/2021,Hujan,5900
84,Buncis,1/14/2021,Hujan,2600
85,Sawi Putih,1/15/2021,Hujan,2900
86,Cabe Chilli,1/15/2021,Hujan,22400
87,Cabe Kriting,1/15/2021,Hujan,33700
88,Cabe Rawit,1/15/2021,Hujan,45500
89,Kol,1/15/2021,Hujan,6800
90,Buncis,1/15/2021,Hujan,2000
91,Sawi Putih,1/16/2021,Hujan,900
92,Cabe Chilli,1/16/2021,Hujan,25500
93,Cabe Kriting,1/16/2021,Hujan,33500
94,Cabe Rawit,1/16/2021,Hujan,47200
95,Kol,1/16/2021,Hujan,6300
96,Buncis,1/16/2021,Hujan,5000
97,Sawi Putih,1/17/2021,Hujan,400
98,Cabe Chilli,1/17/2021,Hujan,19500
99,Cabe Kriting,1/17/2021,Hujan,31600
100,Cabe Rawit,1/17/2021,Hujan,39900
101,Kol,1/17/2021,Hujan,2200
102,Buncis,1/17/2021,Hujan,2600
103,Sawi Putih,1/18/2021,Hujan,2700
104,Cabe Chilli,1/18/2021,Hujan,23300
105,Cabe Kriting,1/18/2021,Hujan,36100
106,Cabe Rawit,1/18/2021,Hujan,44600
107,Kol,1/18/2021,Hujan,6200
108,Buncis,1/18/2021,Hujan,2400
109,Sawi Putih,1/19/2021,Hujan,1000
110,Cabe Chilli,1/19/2021,Hujan,27700
111,Cabe Kriting,1/19/2021,Hujan,28900
112,Cabe Rawit,1/19/2021,Hujan,40700
113,Kol,1/19/2021,Hujan,4000
114,Buncis,1/19/2021,Hujan,3100
115,Sawi Putih,1/20/2021,Hujan,1200
116,Cabe Chilli,1/20/2021,Hujan,24500
117,Cabe Kriting,1/20/2021,Hujan,29000
118,Cabe Rawit,1/20/2021,Hujan,44500
119,Kol,1/20/2021,Hujan,2500
120,Buncis,1/20/2021,Hujan,5900
121,Sawi Putih,1/21/2021,Hujan,2500
122,Cabe Chilli,1/21/2021,Hujan,23700
123,Cabe Kriting,1/21/2021,Hujan,30000
124,Cabe Rawit,1/21/2021,Hujan,39800
125,Kol,1/21/2021,Hujan,5200
126,Buncis,1/21/2021,Hujan,3700
127,Sawi Putih,1/22/2021,Hujan,1400
128,Cabe Chilli,1/22/2021,Hujan,24700
129,Cabe Kriting,1/22/2021,Hujan,28900
130,Cabe Rawit,1/22/2021,Hujan,37700
131,Kol,1/22/2021,Hujan,1800
132,Buncis,1/22/2021,Hujan,3300
133,Sawi Putih,1/23/2021,Hujan,4100
134,Cabe Chilli,1/23/2021,Hujan,26400
135,Cabe Kriting,1/23/2021,Hujan,33100
136,Cabe Rawit,1/23/2021,Hujan,47200
137,Kol,1/23/2021,Hujan,2100
138,Buncis,1/23/2021,Hujan,3100
139,Sawi Putih,1/24/2021,Hujan,1600
140,Cabe Chilli,1/24/2021,Hujan,22000
141,Cabe Kriting,1/24/2021,Hujan,31700
142,Cabe Rawit,1/24/2021,Hujan,41000
143,Kol,1/24/2021,Hujan,6200
144,Buncis,1/24/2021,Hujan,3300
145,Sawi Putih,1/25/2021,Hujan,1900
146,Cabe Chilli,1/25/2021,Hujan,22500
147,Cabe Kriting,1/25/2021,Hujan,29800
148,Cabe Rawit,1/25/2021,Hujan,50100
149,Kol,1/25/2021,Hujan,2100
150,Buncis,1/25/2021,Hujan,4600
151,Sawi Putih,1/26/2021,Hujan,1300
152,Cabe Chilli,1/26/2021,Hujan,23600
153,Cabe Kriting,1/26/2021,Hujan,31900
154,Cabe Rawit,1/26/2021,Hujan,48800
155,Kol,1/26/2021,Hujan,2000
156,Buncis,1/26/2021,Hujan,2800
157,Sawi Putih,1/27/2021,Hujan,3200
158,Cabe Chilli,1/27/2021,Hujan,27800
159,Cabe Kriting,1/27/2021,Hujan,30400
160,Cabe Rawit,1/27/2021,Hujan,49800
161,Kol,1/27/2021,Hujan,5600
162,Buncis,1/27/2021,Hujan,2700
163,Sawi Putih,1/28/2021,Hujan,2900
164,Cabe Chilli,1/28/2021,Hujan,23900
165,Cabe Kriting,1/28/2021,Hujan,29000
166,Cabe Rawit,1/28/2021,Hujan,49300
167,Kol,1/28/2021,Hujan,3700
168,Buncis,1/28/2021,Hujan,5500
169,Sawi Putih,1/29/2021,Hujan,2400
170,Cabe Chilli,1/29/2021,Hujan,20700
171,Cabe Kriting,1/29/2021,Hujan,30700
172,Cabe Rawit,1/29/2021,Hujan,48000
173,Kol,1/29/2021,Hujan,5300
174,Buncis,1/29/2021,Hujan,2800
175,Sawi Putih,1/30/2021,Hujan,600
176,Cabe Chilli,1/30/2021,Hujan,22700
177,Cabe Kriting,1/30/2021,Hujan,30400
178,Cabe Rawit,1/30/2021,Hujan,44300
179,Kol,1/30/2021,Hujan,5200
180,Buncis,1/30/2021,Hujan,4100
181,Sawi Putih,1/31/2021,Hujan,2200
182,Cabe Chilli,1/31/2021,Hujan,22600
183,Cabe Kriting,1/31/2021,Hujan,28100
184,Cabe Rawit,1/31/2021,Hujan,55900
185,Kol,1/31/2021,Hujan,4900
186,Buncis,1/31/2021,Hujan,3700
187,Sawi Putih,2/1/2021,Hujan,3600
188,Cabe Chilli,2/1/2021,Hujan,27700
189,Cabe Kriting,2/1/2021,Hujan,33300
190,Cabe Rawit,2/1/2021,Hujan,36800
191,Kol,2/1/2021,Hujan,3100
192,Buncis,2/1/2021,Hujan,6700
193,Sawi Putih,2/2/2021,Hujan,2900
194,Cabe Chilli,2/2/2021,Hujan,27400
195,Cabe Kriting,2/2/2021,Hujan,34500
196,Cabe Rawit,2/2/2021,Hujan,43000
197,Kol,2/2/2021,Hujan,3300
198,Buncis,2/2/2021,Hujan,5200
199,Sawi Putih,2/3/2021,Hujan,1100
200,Cabe Chilli,2/3/2021,Hujan,26400
201,Cabe Kriting,2/3/2021,Hujan,24300
202,Cabe Rawit,2/3/2021,Hujan,55700
203,Kol,2/3/2021,Hujan,2500
204,Buncis,2/3/2021,Hujan,5100
205,Sawi Putih,2/4/2021,Hujan,2200
206,Cabe Chilli,2/4/2021,Hujan,17900
207,Cabe Kriting,2/4/2021,Hujan,35200
208,Cabe Rawit,2/4/2021,Hujan,42800
209,Kol,2/4/2021,Hujan,2000
210,Buncis,2/4/2021,Hujan,5800
211,Sawi Putih,2/5/2021,Hujan,2600
212,Cabe Chilli,2/5/2021,Hujan,23900
213,Cabe Kriting,2/5/2021,Hujan,29300
214,Cabe Rawit,2/5/2021,Hujan,51000
215,Kol,2/5/2021,Hujan,6200
216,Buncis,2/5/2021,Hujan,1800
217,Sawi Putih,2/6/2021,Hujan,3200
218,Cabe Chilli,2/6/2021,Hujan,20700
219,Cabe Kriting,2/6/2021,Hujan,23800
220,Cabe Rawit,2/6/2021,Hujan,52000
221,Kol,2/6/2021,Hujan,1600
222,Buncis,2/6/2021,Hujan,7000
223,Sawi Putih,2/7/2021,Hujan,1900
224,Cabe Chilli,2/7/2021,Hujan,24600
225,Cabe Kriting,2/7/2021,Hujan,32700
226,Cabe Rawit,2/7/2021,Hujan,41500
227,Kol,2/7/2021,Hujan,6400
228,Buncis,2/7/2021,Hujan,3600
229,Sawi Putih,2/8/2021,Hujan,1900
230,Cabe Chilli,2/8/2021,Hujan,22800
231,Cabe Kriting,2/8/2021,Hujan,29900
232,Cabe Rawit,2/8/2021,Hujan,57300
233,Kol,2/8/2021,Hujan,2800
234,Buncis,2/8/2021,Hujan,2700
235,Sawi Putih,2/9/2021,Hujan,3700
236,Cabe Chilli,2/9/2021,Hujan,27200
237,Cabe Kriting,2/9/2021,Hujan,33400
238,Cabe Rawit,2/9/2021,Hujan,43000
239,Kol,2/9/2021,Hujan,6500
240,Buncis,2/9/2021,Hujan,4700
241,Sawi Putih,2/10/2021,Hujan,500
242,Cabe Chilli,2/10/2021,Hujan,24700
243,Cabe Kriting,2/10/2021,Hujan,25600
244,Cabe Rawit,2/10/2021,Hujan,49900
245,Kol,2/10/2021,Hujan,6400
246,Buncis,2/10/2021,Hujan,6300
247,Sawi Putih,2/11/2021,Hujan,3800
248,Cabe Chilli,2/11/2021,Hujan,25000
249,Cabe Kriting,2/11/2021,Hujan,34000
250,Cabe Rawit,2/11/2021,Hujan,50300
251,Kol,2/11/2021,Hujan,6300
252,Buncis,2/11/2021,Hujan,2800
253,Sawi Putih,2/12/2021,Hujan,3900
254,Cabe Chilli,2/12/2021,Hujan,22300
255,Cabe Kriting,2/12/2021,Hujan,34100
256,Cabe Rawit,2/12/2021,Hujan,48500
257,Kol,2/12/2021,Hujan,1900
258,Buncis,2/12/2021,Hujan,7000
