Id,Jenis Sayuran,Harga Sayuran per KG,Tanggal Harga,Musim,Harga Pasar
1,Sawi Putih,969,2021-01-01,Hujan,1078.3939291849356
2,Cabe Chilli,77284,2021-01-01,Hujan,85442.6377976626
3,Cabe Kriting,30781,2021-01-01,Hujan,34802.67827400059
4,Cabe Rawit,63241,2021-01-01,Hujan,71506.19925949506
5,Kol,7904,2021-01-01,Hujan,9019.645111143118
6,Buncis,5983,2021-01-01,Hujan,6665.333121893365
7,Tomat,8599,2021-01-01,Hujan,9615.693840956805
8,Sawi Putih,4817,2021-01-02,Hujan,5521.562164488406
9,Cabe Chilli,74831,2021-01-02,Hujan,83621.96119177894
10,Cabe Kriting,69204,2021-01-02,Hujan,76249.3198548549
11,Cabe Rawit,85221,2021-01-02,Hujan,96272.52868993231
12,Kol,7303,2021-01-02,Hujan,8069.532021100673
13,Buncis,5641,2021-01-02,Hujan,6211.258272426478
14,Tomat,4108,2021-01-02,Hujan,4521.191398518418
15,Sawi Putih,3577,2021-01-03,Hujan,3958.4164937603236
16,Cabe Chilli,22307,2021-01-03,Hujan,25349.67645364494
17,Cabe Kriting,53237,2021-01-03,Hujan,59916.33793687463
18,Cabe Rawit,88149,2021-01-03,Hujan,99552.09787402683
19,Kol,7474,2021-01-03,Hujan,8274.814996399877
20,Buncis,2505,2021-01-03,Hujan,2807.840837981782
21,Tomat,7456,2021-01-03,Hujan,8252.162800252772
22,Sawi Putih,4917,2021-01-04,Hujan,5430.928463359605
23,Cabe Chilli,56051,2021-01-04,Hujan,64019.52909071118
24,Cabe Kriting,55109,2021-01-04,Hujan,61503.83361799397
25,Cabe Rawit,66994,2021-01-04,Hujan,76238.88084602825
26,Kol,2983,2021-01-04,Hujan,3293.986184820883
27,Buncis,5139,2021-01-04,Hujan,5752.980746704675
28,Tomat,4390,2021-01-04,Hujan,5033.449647072721
29,Sawi Putih,4211,2021-01-05,Hujan,4823.369034296645
30,Cabe Chilli,62129,2021-01-05,Hujan,68900.16331073605
31,Cabe Kriting,60437,2021-01-05,Hujan,67417.30715181219
32,Cabe Rawit,74833,2021-01-05,Hujan,84806.62047097417
33,Kol,4151,2021-01-05,Hujan,4592.939073853251
34,Buncis,4462,2021-01-05,Hujan,4942.9548458785885
35,Tomat,3433,2021-01-05,Hujan,3791.8116224579226
36,Sawi Putih,2809,2021-01-06,Hujan,3122.5661347221294
37,Cabe Chilli,38445,2021-01-06,Hujan,43581.9430071803
38,Cabe Kriting,42894,2021-01-06,Hujan,48736.41584016064
39,Cabe Rawit,44941,2021-01-06,Hujan,49774.32043042872
40,Kol,2209,2021-01-06,Hujan,2481.68612625602
41,Buncis,6401,2021-01-06,Hujan,7194.041303117686
42,Tomat,8483,2021-01-06,Hujan,9425.985700605495
43,Sawi Putih,4522,2021-01-07,Hujan,5087.3378118555065
44,Cabe Chilli,79687,2021-01-07,Hujan,88941.95159811238
45,Cabe Kriting,23827,2021-01-07,Hujan,26851.634950011976
46,Cabe Rawit,94101,2021-01-07,Hujan,106638.94010573899
47,Kol,2755,2021-01-07,Hujan,3045.081885455042
48,Buncis,2100,2021-01-07,Hujan,2408.6918863409596
49,Tomat,5261,2021-01-07,Hujan,5846.603623645558
50,Sawi Putih,1220,2021-01-08,Hujan,1359.300390916747
51,Cabe Chilli,76187,2021-01-08,Hujan,85636.99364455877
52,Cabe Kriting,51539,2021-01-08,Hujan,57600.07452083802
53,Cabe Rawit,83907,2021-01-08,Hujan,96057.88649505275
54,Kol,7804,2021-01-08,Hujan,8742.271072447527
55,Buncis,5511,2021-01-08,Hujan,6079.317646982348
56,Tomat,1976,2021-01-08,Hujan,2236.7417872013825
57,Sawi Putih,4018,2021-01-09,Hujan,4525.849832561702
58,Cabe Chilli,23637,2021-01-09,Hujan,27071.79978312869
59,Cabe Kriting,69220,2021-01-09,Hujan,79319.45243193746
60,Cabe Rawit,98022,2021-01-09,Hujan,110074.92725611746
61,Kol,6979,2021-01-09,Hujan,7681.343119984384
62,Buncis,2068,2021-01-09,Hujan,2331.4904922116066
63,Tomat,8274,2021-01-09,Hujan,9234.308556256963
64,Sawi Putih,4703,2021-01-10,Hujan,5175.082580942992
65,Cabe Chilli,29083,2021-01-10,Hujan,33020.63625078001
66,Cabe Kriting,22449,2021-01-10,Hujan,25273.866136423534
67,Cabe Rawit,95573,2021-01-10,Hujan,107944.64188712949
68,Kol,7372,2021-01-10,Hujan,8336.379186241697
69,Buncis,2903,2021-01-10,Hujan,3286.1136990614236
70,Tomat,5551,2021-01-10,Hujan,6171.915788700716
71,Sawi Putih,4563,2021-01-11,Hujan,5076.171989774098
72,Cabe Chilli,55778,2021-01-11,Hujan,62062.2636227816
73,Cabe Kriting,33493,2021-01-11,Hujan,38186.12579069204
74,Cabe Rawit,82759,2021-01-11,Hujan,95056.04736202887
75,Kol,3503,2021-01-11,Hujan,3997.185947689316
76,Buncis,6247,2021-01-11,Hujan,7028.398674620864
77,Tomat,3149,2021-01-11,Hujan,3493.502041259135
78,Sawi Putih,3605,2021-01-12,Hujan,4089.335178462219
79,Cabe Chilli,68504,2021-01-12,Hujan,76329.66214485232
