Transaction Id,Jenis Sayuran,Berat (ton),Tanggal Transaksi,Destinasi,Total Biaya,Biaya Kirim
1,Sawi Putih,0.925,2021-01-01,Pasar Gudang Sukabumi,1850000.0,3004646.55
1,Cabe Chilli,0.925,2021-01-01,Pasar Induk,1850000.0,3004646.55
1,Cabe Rawit,0.925,2021-01-01,Pasar Induk,1850000.0,3004646.55
1,Kol,0.925,2021-01-01,Pasar Induk,1850000.0,3004646.55
2,Kol,0.7333333333333334,2021-01-02,Pasar Bogor,2200000.0,2130598.66
2,Cabe Rawit,0.7333333333333334,2021-01-02,Pasar Pasundan Sukabumi,2200000.0,2130598.66
2,Cabe Kriting,0.7333333333333334,2021-01-02,Pasar Pasundan Sukabumi,2200000.0,2130598.66
2,Tomat,0.7333333333333334,2021-01-02,Pasar Gudang Sukabumi,2200000.0,2130598.66
2,Sawi Putih,0.7333333333333334,2021-01-02,Pasar Induk,2200000.0,2130598.66
2,Cabe Chilli,0.7333333333333334,2021-01-02,Pasar Bogor,2200000.0,2130598.66
3,Tomat,0.8333333333333334,2021-01-03,Pasar Induk,2500000.0,2519567.68
3,Cabe Kriting,0.8333333333333334,2021-01-03,Pasar Bogor,2500000.0,2519567.68
3,Cabe Rawit,0.8333333333333334,2021-01-03,Pasar Pasundan Sukabumi,2500000.0,2519567.68
3,Kol,0.8333333333333334,2021-01-03,Pasar Bogor,2500000.0,2519567.68
3,Cabe Chilli,0.8333333333333334,2021-01-03,Pasar Pasundan Sukabumi,2500000.0,2519567.68
3,Buncis,0.8333333333333334,2021-01-03,Pasar Bogor,2500000.0,2519567.68
4,Cabe Chilli,0.4166666666666667,2021-01-04,Pasar Induk,1250000.0,3801166.41
4,Cabe Kriting,0.4166666666666667,2021-01-04,Pasar Bogor,1250000.0,3801166.41
4,Tomat,0.4166666666666667,2021-01-04,Pasar Induk,1250000.0,3801166.41
4,Sawi Putih,0.4166666666666667,2021-01-04,Pasar Bogor,1250000.0,3801166.41
4,Kol,0.4166666666666667,2021-01-04,Pasar Gudang Sukabumi,1250000.0,3801166.41
4,Cabe Rawit,0.4166666666666667,2021-01-04,Pasar Gudang Sukabumi,1250000.0,3801166.41
5,Buncis,0.6333333333333333,2021-01-05,Pasar Pasundan Sukabumi,1900000.0,3378784.99
5,Cabe Rawit,0.6333333333333333,2021-01-05,Pasar Induk,1900000.0,3378784.99
5,Kol,0.6333333333333333,2021-01-05,Pasar Bogor,1900000.0,3378784.99
5,Cabe Chilli,0.6333333333333333,2021-01-05,Pasar Gudang Sukabumi,1900000.0,3378784.99
5,Tomat,0.6333333333333333,2021-01-05,Pasar Gudang Sukabumi,1900000.0,3378784.99
5,Sawi Putih,0.6333333333333333,2021-01-05,Pasar Gudang Sukabumi,1900000.0,3378784.99
6,Buncis,0.9,2021-01-06,Pasar Bogor,1800000.0,1827745.86
6,Kol,0.9,2021-01-06,Pasar Pasundan Sukabumi,1800000.0,1827745.86
6,Sawi Putih,0.9,2021-01-06,Pasar Induk,1800000.0,1827745.86
6,Cabe Chilli,0.9,2021-01-06,Pasar Gudang Sukabumi,1800000.0,1827745.86
7,Kol,0.42000000000000004,2021-01-07,Pasar Gudang Sukabumi,1050000.0,2775723.76
7,Buncis,0.42000000000000004,2021-01-07,Pasar Pasundan Sukabumi,1050000.0,2775723.76
7,Tomat,0.42000000000000004,2021-01-07,Pasar Induk,1050000.0,2775723.76
7,Cabe Chilli,0.42000000000000004,2021-01-07,Pasar Pasundan Sukabumi,1050000.0,2775723.76
7,Cabe Kriting,0.42000000000000004,2021-01-07,Pasar Bogor,1050000.0,2775723.76
8,Cabe Kriting,0.65,2021-01-08,Pasar Gudang Sukabumi,1950000.0,2157773.47
8,Kol,0.65,2021-01-08,Pasar Gudang Sukabumi,1950000.0,2157773.47
8,Buncis,0.65,2021-01-08,Pasar Induk,1950000.0,2157773.47
8,Sawi Putih,0.65,2021-01-08,Pasar Gudang Sukabumi,1950000.0,2157773.47
8,Cabe Chilli,0.65,2021-01-08,Pasar Induk,1950000.0,2157773.47
8,Cabe Rawit,0.65,2021-01-08,Pasar Pasundan Sukabumi,1950000.0,2157773.47
