ID,Jenis Sayuran,Tanggal Harga,Harga Pengepul per Kilogram,Harga Pasar per Kilogram
1,Sawi Putih,2021-01-01,4404,4691.50609168798
2,Cabe Chilli,2021-01-01,50392,55113.35507467178
3,Cabe Kriting,2021-01-01,39781,42391.547679796924
4,Cabe Rawit,2021-01-01,21868,23858.765598517635
5,Kol,2021-01-01,2383,2502.403915319688
6,Buncis,2021-01-01,2390,2520.4783048832023
7,Sawi Putih,2021-01-02,1863,2040.721109309488
8,Cabe Chilli,2021-01-02,41345,44481.91455042054
9,Cabe Kriting,2021-01-02,33064,35204.10971862344
10,Cabe Rawit,2021-01-02,78944,84601.8459351067
11,Kol,2021-01-02,6594,6987.151566186831
12,Buncis,2021-01-02,7607,8361.320505844325
13,Sawi Putih,2021-01-03,3920,4181.637773806561
14,Cabe Chilli,2021-01-03,23581,25834.010606281885
15,Cabe Kriting,2021-01-03,71325,75662.4296652614
16,Cabe Rawit,2021-01-03,31085,33327.057053342236
17,Kol,2021-01-03,3667,3895.3561062941258
18,Buncis,2021-01-03,4885,5171.928474956804
19,Sawi Putih,2021-01-04,1921,2101.5169361685666
20,Cabe Chilli,2021-01-04,57501,61420.351498642056
21,Cabe Kriting,2021-01-04,47092,49723.0408899246
22,Cabe Rawit,2021-01-04,20142,21823.29482907116
23,Kol,2021-01-04,6125,6541.934733436377
24,Buncis,2021-01-04,3276,3567.1558728232208
25,Sawi Putih,2021-01-05,2316,2482.3570228915974
26,Cabe Chilli,2021-01-05,57180,61871.18325531104
27,Cabe Kriting,2021-01-05,62888,67363.06079560996
28,Cabe Rawit,2021-01-05,22169,24075.440665379814
29,Kol,2021-01-05,7395,8031.725133242627
30,Buncis,2021-01-05,7118,7682.24903181385
31,Sawi Putih,2021-01-06,1078,1159.0202379091181
32,Cabe Chilli,2021-01-06,44036,48226.02372518866
33,Cabe Kriting,2021-01-06,63985,67969.94988468976
34,Cabe Rawit,2021-01-06,57088,62498.99737561424
35,Kol,2021-01-06,4995,5318.6568412886
36,Buncis,2021-01-06,4811,5274.114266601646
37,Sawi Putih,2021-01-07,2234,2377.3535085828294
38,Cabe Chilli,2021-01-07,49821,53224.44231671729
39,Cabe Kriting,2021-01-07,56505,60847.03238824436
40,Cabe Rawit,2021-01-07,75252,79559.03327113602
41,Kol,2021-01-07,2034,2144.3757563266113
42,Buncis,2021-01-07,6929,7463.0816197416525
43,Sawi Putih,2021-01-08,3063,3261.040646024705
44,Cabe Chilli,2021-01-08,30687,33275.04136629637
